SPd,ANG,TRQ,ANOMALY
0,-65,2401,0
0,-66,2402,0
0,-65,2378,0
0,-65,2382,0
0,-66,2389,0
0,-66,2375,0
0,-67,2386,0
0,-67,2398,0
0,-67,2404,0
0,-68,2398,0
0,-68,2387,0
0,-67,2380,0
0,-67,2388,0
0,-67,2426,0
0,-67,2414,0
0,-67,2423,0
0,-67,2420,0
0,-67,2438,0
0,-68,2394,0
0,-64,2387,0
0,-61,2376,0
0,-58,2442,0
0,-59,2442,0
0,-47,2442,0
0,-35,2443,0
0,-28,2441,0
0,-24,2441,0
0,-24,2443,0
0,-22,2443,0
0,-23,2443,0
0,-21,2441,0
0,-16,2443,0
0,-14,2441,0
0,-12,2441,0
0,-10,2442,0
0,1,2442,0
0,6,2442,0
0,10,2442,0
0,13,2442,0
0,17,2442,0
0,21,2442,0
0,26,2443,0
0,43,2442,0
0,51,2442,0
0,52,2442,0
0,53,2442,0
0,56,2443,0
0,57,2442,0
0,58,2442,0
0,59,2442,0
0,62,2419,0
0,66,2441,0
0,67,2591,0
0,61,2545,0
0,60,2510,0
0,62,2507,0
0,65,2518,0
0,67,2509,0
0,69,2417,0
0,69,2448,0
0,68,2553,0
0,70,2586,0
0,71,2562,0
0,72,2484,0
0,72,2569,0
0,73,2506,0
0,73,2577,0
0,74,2629,0
0,74,2648,0
0,75,2595,0
0,76,2689,0
0,76,2662,0
0,78,2671,0
0,78,2678,0
0,78,2695,0
0,79,2679,0
0,79,2686,0
0,79,2674,0
0,77,2669,0
0,77,2689,0
0,75,2669,0
0,75,2652,0
0,67,2559,0
0,57,2427,0
0,36,2442,0
0,20,2443,0
0.5,-50,2442,0
0.5,-61,2442,0
0.5,-68,2416,0
0.5,-66,2406,0
0.5,-59,2433,0
0.5,-65,2404,0
0.5,-69,2390,0
0.5,-71,2409,0
0.5,-74,2393,0
0.5,-75,2433,0
0.5,-74,2469,0
0.5,-74,2484,0
0.5,-76,2490,0
0.5,-78,2507,0
0.5,-78,2479,0
0.5,-78,2511,0
0.5,-77,2571,0
0.5,-78,2551,0
1,-77,2506,0
1,-78,2542,0
1,-78,2572,0
1,-76,2567,0
1,-75,2552,0
1,-74,2477,0
1,-66,2395,0
1,-60,2399,0
1,-53,2442,0
1,-44,2442,0
1,-29,2442,0
1,-12,2442,0
1,2,2442,0
1,12,2442,0
1,17,2442,0
1,20,2442,0
1,29,2442,0
1,36,2442,0
1,46,2442,0
1,57,2442,0
1,69,2462,0
1,74,2650,0
1,62,2430,0
1,68,2459,0
1,73,2538,0
1.5,73,2521,0
1.5,77,2566,0
1.5,78,2570,0
1.5,79,2673,0
1.5,80,2623,0
1.5,83,2691,0
1.5,86,2696,0
1.5,88,2697,0
1.5,90,2696,0
1.5,92,2697,0
1.5,93,2697,0
1.5,94,2681,0
1.5,94,2697,0
1.5,96,2679,0
1.5,95,2653,0
1.5,94,2667,0
1.5,97,2697,0
1.5,98,2674,0
1.5,98,2697,0
1.5,99,2697,0
1.5,99,2622,0
1.5,99,2623,0
1.5,98,2684,0
1.5,96,2630,0
1.5,97,2684,0
1.5,98,2648,0
1.5,97,2687,0
1.5,98,2621,0
1.5,98,2689,0
1.5,101,2695,0
1.5,100,2693,0
1.5,100,2697,0
1.5,103,2698,0
1.5,103,2697,0
1.5,105,2697,0
1.5,104,2697,0
1.5,105,2696,0
1.5,106,2697,0
1.5,107,2677,0
1.5,108,2697,0
1.5,109,2697,0
1.5,109,2698,0
1.5,111,2698,0
1.5,112,2698,0
1.5,113,2697,0
1.5,114,2698,0
1.5,116,2697,0
1.5,115,2697,0
1.5,118,2697,0
1.5,121,2697,0
1.5,120,2697,0
1.5,119,2697,0
1.5,117,2698,0
1.5,118,2698,0
1.5,116,2698,0
2,122,2698,0
2,123,2697,0
2,124,2697,0
2,125,2697,0
2,125,2698,0
2,121,2697,0
2,120,2698,0
2,119,2697,0
2,120,2697,0
2,118,2697,0
2,117,2698,0
2,116,2698,0
2,115,2697,0
2,113,2697,0
2,112,2696,0
2,110,2697,0
2,108,2697,0
2,108,2683,0
2,105,2697,0
2,101,2682,0
2,101,2697,0
2,101,2692,0
2,100,2686,0
2,98,2667,0
2,96,2697,0
2,95,2644,0
2,94,2676,0
2,92,2697,0
2,92,2690,0
2,89,2697,0
2,88,2690,0
2,87,2697,0
2,84,2687,0
2,84,2697,0
2,80,2664,0
2,78,2688,0
2,77,2630,0
2,75,2654,0
2,71,2621,0
2,70,2434,0
2,60,2412,0
2,49,2442,0
2,40,2443,0
2,24,2443,0
2,17,2442,0
2,14,2442,0
2,14,2441,0
2,10,2442,0
2,2,2442,0
2,-8,2442,0
2,-15,2442,0
2,-20,2442,0
2,-24,2442,0
2,-23,2441,0
2,-23,2442,0
2,-22,2442,0
2,-22,2443,0
2,-31,2442,0
2,-35,2442,0
2,-44,2442,0
2,-48,2442,0
2,-52,2442,0
2,-55,2442,0
2,-56,2443,0
2,-56,2441,0
2,-57,2442,0
2,-60,2442,0
2,-66,2414,0
2,-68,2378,0
2,-61,2406,0
2,-65,2381,0
2,-67,2392,0
2.5,-64,2417,0
2.5,-64,2386,0
2.5,-66,2393,0
2.5,-67,2382,0
2.5,-70,2373,0
2.5,-72,2375,0
2.5,-72,2392,0
