SPD,ANG,TRQ,ANOMALY
37.5,-73,2381,0
37.5,-78,2409,0
37.5,-79,2384,0
37.5,-78,2375,0
37.5,-78,2389,0
37.5,-78,2391,0
37.5,-78,2383,0
37.5,-79,2380,0
37.5,-77,2377,0
37.5,-77,2380,0
37.5,-77,2382,0
37.5,-78,2376,0
37.5,-80,2414,0
37.5,-79,2388,0
37.5,-77,2373,0
37.5,-77,2397,0
37.5,-76,2398,0
37.5,-77,2389,0
37.5,-76,2374,0
37.5,-77,2384,0
37.5,-77,2381,0
37.5,-75,2385,0
37.5,-69,2386,0
37.5,-63,2409,0
37.5,-57,2442,0
37.5,-52,2442,0
37.5,-45,2441,0
37.5,-37,2442,0
37.5,-27,2442,0
37.5,-18,2442,0
37.5,-12,2442,0
37.5,-8,2442,0
37.5,-3,2442,0
37.5,0,2442,0
37.5,5,2442,0
37.5,11,2442,0
37.5,14,2442,0
37.5,17,2442,0
37.5,19,2442,0
37.5,21,2443,0
37.5,21,2442,0
37.5,23,2442,0
37.5,24,2443,0
37.5,26,2441,0
37.5,27,2442,0
37.5,28,2443,0
37.5,28,2441,0
37.5,29,2442,0
37.5,31,2442,0
37.5,35,2442,0
37.5,38,2442,0
37.5,40,2442,0
37.5,41,2442,0
37.5,44,2442,0
37.5,46,2442,0
37.5,45,2441,0
37.5,48,2442,0
37.5,49,2441,0
37.5,50,2442,0
37.5,52,2442,0
37.5,55,2442,0
37.5,59,2442,0
37.5,60,2442,0
37.5,60,2441,0
37.5,60,2443,0
37.5,58,2442,0
37.5,61,2441,0
37.5,64,2422,0
37.5,68,2431,0
37.5,70,2439,0
37.5,70,2491,0
37.5,64,2460,0
37.5,68,2525,0
37.5,67,2537,0
37.5,63,2519,0
37.5,58,2441,0
37.5,66,2434,0
37.5,67,2488,0
37.5,61,2503,0
37.5,62,2442,0
37.5,64,2443,0
37.5,65,2428,0
37.5,66,2501,0
37.5,66,2475,0
37.5,66,2440,0
37.5,66,2408,0
37.5,65,2480,0
37.5,63,2486,0
37.5,63,2443,0
37.5,65,2462,0
37.5,64,2423,0
37.5,66,2417,0
37.5,65,2431,0
37.5,65,2500,0
37.5,66,2479,0
37.5,66,2466,0
37.5,67,2417,0
37.5,67,2434,0
37.5,66,2467,0
37.5,67,2496,0
37.5,67,2483,0
37.5,67,2457,0
37.5,66,2421,0
37.5,36,2442,0
37.5,6,2442,0
37.5,-4,2442,0
37.5,-11,2442,0
37.5,-29,2441,0
37.5,-33,2442,0
37.5,-36,2442,0
37.5,-38,2442,0
37.5,-42,2442,0
37.5,-49,2442,0
37.5,-55,2442,0
37.5,-60,2442,0
37.5,-64,2464,0
37.5,-67,2447,0
37.5,-67,2414,0
37.5,-66,2459,0
37.5,-64,2456,0
37.5,-62,2442,0
37.5,-63,2421,0
37.5,-66,2400,0
37.5,-67,2412,0
37.5,-67,2428,0
37.5,-66,2443,0
37.5,-66,2476,0
37.5,-62,2456,0
37.5,-46,2442,0
37.5,-43,2442,0
37.5,-40,2441,0
37.5,-32,2442,0
37.5,-25,2441,0
37.5,-17,2441,0
37.5,-17,2442,0
37.5,-15,2442,0
37.5,-16,2443,0
37.5,-24,2442,0
37.5,-29,2443,0
37.5,-31,2442,0
37.5,-31,2441,0
37.5,-35,2442,0
37.5,-39,2442,0
37.5,-40,2442,0
37.5,-41,2442,0
37.5,-45,2442,0
37.5,-49,2441,0
37.5,-61,2442,0
37.5,-64,2438,0
37.5,-69,2401,0
37.5,-68,2431,0
37.5,-65,2412,0
37.5,-64,2453,0
37.5,-66,2432,0
37.5,-72,2413,0
37.5,-73,2386,0
37.5,-66,2424,0
37.5,-63,2415,0
37.5,-66,2402,0
37.5,-71,2373,0
37.5,-72,2389,0
37.5,-71,2389,0
37.5,-65,2404,0
37.5,-65,2388,0
37.5,-70,2390,0
37.5,-71,2398,0
37.5,-71,2382,0
37.5,-71,2390,0
37.5,-70,2397,0
37.5,-71,2393,0
37.5,-71,2394,0
37.5,-69,2389,0
37.5,-69,2374,0
37.5,-69,2390,0
37.5,-69,2391,0
37.5,-69,2387,0
37.5,-68,2389,0
37.5,-67,2413,0
37.5,-65,2390,0
37.5,-61,2415,0
37.5,-50,2442,0
37.5,-44,2442,0
37,-35,2442,0
37,-43,2442,0
37,-47,2442,0
37,-52,2442,0
37,-55,2441,0
37,-58,2442,0
37,-62,2442,0
37,-63,2425,0
37,-65,2427,0
37,-67,2389,0
37,-67,2409,0
37,-66,2419,0
37,-66,2446,0
37,-63,2470,0
37,-62,2464,0
37,-60,2442,0
37,-59,2442,0
37,-57,2442,0
37,-56,2442,0
37,-55,2442,0
37,-54,2442,0
37,-53,2442,0
37,-51,2442,0
37,-50,2442,0
37,-48,2442,0
37,-46,2442,0
37,-40,2442,0
37,-32,2443,0
37,-30,2442,0
37,-26,2442,0
37,-24,2442,0
37,-23,2441,0
37,-22,2442,0
37,-21,2442,0
36.5,-20,2442,0
36.5,-20,2443,0
36.5,-19,2442,0
36.5,-17,2442,0
36.5,-15,2442,0
36.5,-13,2442,0
36.5,-10,2442,0
36.5,-7,2442,0
36.5,-5,2442,0
36.5,-4,2442,0
36.5,-3,2442,0
36.5,-2,2443,0
36.5,2,2442,0
36,3,2442,0
36,6,2442,0
36,7,2442,0
36,9,2442,0
36,10,2442,0
36,11,2442,0
36,10,2441,0
36,4,2442,0
36,0,2442,0
36,-4,2442,0
36,-7,2442,0
36,-12,2442,0
36,-18,2442,0
36,-21,2442,0
36,-23,2442,0
36,-24,2443,0
36,-26,2442,0
36,-25,2442,0
36,-20,2442,0
36,-17,2442,0
36,-19,2442,0
36,-23,2441,0
33,-25,2442,0
33,-26,2443,0
32.5,-25,2441,0
32.5,-28,2442,0
32.5,-34,2441,0
32.5,-37,2442,0
32,-61,2441,0
31.5,-40,2442,0
31.5,-37,2442,0
31.5,-36,2442,0
31.5,-41,2442,0
31.5,-44,2442,0
31.5,-46,2442,0
31.5,-49,2442,0
31.5,-57,2442,0
31.5,-63,2460,0
31.5,-63,2450,0
31.5,-63,2430,0
31.5,-62,2411,0
31.5,-62,2441,0
31.5,-41,2441,0
31.5,-38,2443,0
31.5,-34,2442,0
31.5,-29,2443,0
31.5,-29,2441,0
31.5,-31,2443,0
31.5,-32,2442,0
31.5,-32,2441,0
32,-36,2442,0
32,-36,2443,0
32,-37,2441,0
32,-38,2441,0
32,-39,2442,0
32,-41,2442,0
32,-43,2441,0
31.5,-43,2443,0
31.5,-43,2442,0
31.5,-46,2441,0
31.5,-48,2443,0
31.5,-64,2424,0
31.5,-65,2459,0
31.5,-66,2443,0
31.5,-68,2428,0
31.5,-69,2381,0
31.5,-66,2380,0
31.5,-64,2416,0
31.5,-70,2377,0
31.5,-70,2374,0
31.5,-70,2376,0
31.5,-71,2389,0
31.5,-72,2385,0
31.5,-71,2379,0
31.5,-72,2383,0
31.5,-72,2377,0
31.5,-70,2373,0
31.5,-68,2380,0
31.5,-68,2393,0
31.5,-67,2386,0
31.5,-62,2378,0
31.5,-3,2442,0
31.5,3,2442,0
31.5,8,2442,0
31,16,2442,0
31,20,2441,0
31,20,2442,0
31,22,2442,0
31,24,2442,0
31,25,2442,0
