SPD,ANG,TRQ,ANOMALY
56,-69,2458,0
56,-68,2426,0
56,-74,2459,0
56,-73,2440,0
56.5,-72,2417,0
56.5,-75,2400,0
56.5,-71,2393,0
56.5,-70,2394,0
56.5,-66,2429,0
58,-81,2379,0
58,-82,2372,0
58,-83,2389,0
58,-82,2388,0
58.5,-82,2414,0
58.5,-70,2388,0
59,-65,2439,0
59,-65,2404,0
59,-69,2464,0
59,-72,2448,0
59,-71,2384,0
59,-71,2480,0
59,-71,2427,0
59,-65,2455,0
59,-74,2473,0
59,-73,2381,0
59,-69,2386,0
58.5,22,2441,0
58.5,69,2430,0
58.5,68,2429,0
58.5,68,2440,0
58.5,69,2478,0
58.5,69,2410,0
58.5,69,2476,0
58.5,-81,2444,0
58.5,-64,2432,0
58.5,-75,2383,0
58.5,-70,2476,0
58.5,-75,2424,0
58.5,-72,2415,0
58.5,-65,2399,0
59,72,2449,0
59,76,2459,0
59,76,2509,0
59,77,2453,0
59,76,2477,0
59,72,2471,0
59,63,2468,0
58.5,-64,2470,0
58.5,-65,2428,0
58.5,-67,2467,0
58.5,-59,2423,0
58.5,-63,2426,0
58,-63,2412,0
58.5,-76,2468,0
58.5,-76,2452,0
58.5,-79,2379,0
58.5,-64,2402,0
59.5,-66,2399,0
59.5,-70,2471,0
60,-65,2447,0
60,-71,2457,0
60,-74,2473,0
60,-77,2441,0
60,-87,2391,0
60,-89,2402,0
60,-88,2398,0
60,-91,2383,0
60,-91,2381,0
60,-86,2380,0
60,-84,2381,0
60,-83,2380,0
60,-83,2410,0
60,-80,2372,0
60,-74,2395,0
59.5,-78,2430,0
59.5,-81,2392,0
59.5,-83,2394,0
59.5,-89,2391,0
59.5,-89,2372,0
59.5,-89,2374,0
59.5,-90,2396,0
59.5,-90,2376,0
59.5,-90,2381,0
59.5,-90,2375,0
59.5,-87,2385,0
59.5,-84,2379,0
59.5,-80,2392,0
59.5,-77,2393,0
59.5,-72,2383,0
59.5,-68,2418,0
59.5,-65,2398,0
59.5,-65,2457,0
59.5,18,2441,0
59.5,-65,2454,0
59.5,-65,2417,0
59.5,-66,2396,0
59.5,-66,2477,0
59.5,-69,2449,0
59.5,-73,2414,0
59.5,-78,2433,0
59.5,-78,2376,0
59.5,-80,2423,0
59.5,-84,2392,0
59.5,-86,2400,0
59.5,-86,2409,0
59.5,-87,2382,0
59.5,-89,2379,0
59.5,-88,2396,0
59.5,-87,2376,0
59.5,-87,2372,0
59.5,-87,2396,0
59.5,-86,2403,0
59.5,-83,2376,0
59.5,-83,2377,0
59.5,-82,2403,0
59.5,-81,2415,0
59.5,-83,2379,0
59.5,-83,2385,0
59.5,-83,2404,0
59.5,-85,2372,0
59.5,-86,2395,0
59.5,-86,2376,0
59.5,-86,2381,0
59.5,-89,2375,0
59.5,-90,2387,0
59.5,-90,2383,0
59.5,-90,2385,0
59.5,-89,2377,0
59.5,-89,2376,0
59.5,-89,2381,0
59.5,-88,2380,0
59.5,-85,2384,0
59.5,-85,2376,0
59.5,-83,2389,0
59.5,-82,2375,0
59,-81,2401,0
59,-75,2380,0
59,-72,2374,0
58.5,-64,2422,0
58.5,70,2409,0
58.5,68,2449,0
59,-73,2480,0
58.5,-76,2438,0
58.5,-78,2426,0
58.5,-80,2402,0
58,-65,2469,0
58,-64,2430,0
58,68,2448,0
58,67,2466,0
58,67,2401,0
58,67,2416,0
58,-82,2412,0
58,-65,2458,0
57.5,-66,2438,0
57.5,-66,2467,0
57.5,-67,2478,0
57.5,-72,2465,0
56.5,-68,2471,0
56.5,-69,2443,0
56.5,-72,2423,0
56.5,-71,2473,0
56.5,-70,2438,0
56.5,-73,2464,0
56.5,-73,2432,0
56.5,-75,2436,0
56.5,-82,2420,0
56.5,-72,2422,0
56.5,-67,2393,0
56.5,-66,2455,0
56.5,-37,2441,0
56.5,66,2439,0
56.5,74,2458,0
56.5,76,2502,0
56.5,76,2416,0
56.5,76,2505,0
56.5,77,2433,0
56.5,74,2493,0
56.5,74,2581,0
56.5,71,2444,0
56.5,69,2525,0
56.5,75,2481,0
56.5,74,2513,0
56.5,69,2459,0
56.5,70,2511,0
56.5,-76,2458,0
56.5,-77,2455,0
56.5,-77,2400,0
56.5,-63,2411,0
57.5,-68,2425,0
58,-68,2390,0
58,-78,2426,0
58,-78,2374,0
57.5,-68,2392,0
57,-70,2416,0
57,-71,2446,0
57,-72,2446,0
57,-66,2455,0
57,-65,2394,0
57,-68,2425,0
57,-68,2448,0
57,-70,2460,0
57,-72,2413,0
57,-72,2450,0
57,-68,2423,0
57,-67,2395,0
57,-67,2447,0
57,-67,2472,0
57,-71,2427,0
57,-70,2477,0
57,-70,2437,0
57,-71,2414,0
57,-74,2403,0
57,-73,2384,0
57,-73,2394,0
57,-69,2436,0
57,-72,2409,0
57,-76,2423,0
57,-78,2373,0
57,-73,2407,0
57,-78,2375,0
57,-78,2374,0
57,-77,2402,0
57,-77,2386,0
57,-77,2411,0
57,-76,2416,0
57,-76,2378,0
57,-75,2391,0
57,50,2441,0
56.5,68,2439,0
56.5,72,2426,0
56.5,74,2481,0
56.5,74,2470,0
56.5,74,2521,0
56.5,73,2490,0
56.5,68,2460,0
56.5,68,2463,0
56.5,69,2463,0
56.5,69,2447,0
56.5,68,2447,0
56.5,69,2437,0
56.5,68,2436,0
56.5,67,2463,0
56.5,67,2436,0
56.5,-72,2473,0
56.5,-77,2435,0
56.5,-71,2463,0
56.5,-75,2464,0
56.5,-75,2434,0
56.5,-75,2429,0
56.5,-72,2427,0
56.5,-73,2437,0
56.5,-72,2383,0
56.5,-70,2425,0
57.5,-68,2467,0
57.5,-75,2417,0
57.5,-66,2396,0
57.5,-83,2378,0
57.5,-64,2437,0
57.5,-65,2396,0
57.5,-65,2448,0
58,-66,2467,0
57.5,-70,2478,0
57.5,-79,2376,0
57.5,-63,2437,0
57.5,-63,2402,0
57.5,-79,2388,0
57.5,-77,2416,0
57.5,-63,2414,0
57,-64,2422,0
56.5,-67,2430,0
56.5,-79,2443,0
56.5,-66,2433,0
56.5,-76,2397,0
56.5,-77,2403,0
