SPD,ANG,TRQ,ANOMALY
57,-69,2463,0
57,-69,2465,0
57,-69,2449,0
57,-69,2424,0
57,-74,2440,0
57,-75,2431,0
57,-74,2409,0
57,-71,2425,0
57,-70,2448,0
57,-70,2430,0
57,-75,2420,0
57,-78,2411,0
57,-73,2388,0
57,-73,2424,0
57,-74,2415,0
57,-71,2396,0
57,-65,2418,0
57,-64,2410,0
57,-54,2441,0
57,-43,2441,0
56.5,76,2451,0
56.5,69,2465,0
56.5,52,2441,0
56.5,3,2441,0
56.5,-2,2441,0
56,-29,2441,0
56,-18,2441,0
56,66,2424,0
56,65,2433,0
56,1,2441,0
56,-70,2477,0
56,-72,2417,0
56,-72,2395,0
56,-74,2434,0
56,-73,2439,0
56,-74,2416,0
56,-68,2412,0
56,-76,2390,0
56,-72,2419,0
56,-77,2402,0
56,-81,2393,0
56,-83,2377,0
56,-79,2416,0
56,-75,2377,0
56,-74,2372,0
56,-82,2373,0
56,-81,2375,0
56,-81,2379,0
56,-81,2388,0
56,-80,2373,0
56,-82,2383,0
56,-82,2389,0
56,-83,2390,0
56,-81,2389,0
56,-80,2378,0
56,-80,2377,0
56,-79,2393,0
56,-79,2391,0
56,-78,2384,0
56,-77,2397,0
56,-76,2380,0
56,-77,2409,0
56,-77,2415,0
56,-77,2386,0
56,-79,2383,0
56,-79,2398,0
56,-79,2401,0
56,-79,2387,0
56,-79,2377,0
55.5,-79,2382,0
55.5,-79,2385,0
55.5,-79,2398,0
55.5,-79,2375,0
55.5,-80,2390,0
55.5,-79,2383,0
55.5,-81,2395,0
55.5,-81,2382,0
55.5,-82,2372,0
55.5,-81,2375,0
55.5,-83,2375,0
55.5,-85,2389,0
55.5,-84,2386,0
55.5,-84,2376,0
55.5,-84,2373,0
55.5,-84,2380,0
55.5,-84,2379,0
55.5,-85,2392,0
55.5,-86,2391,0
55.5,-85,2378,0
55.5,-85,2384,0
55.5,-84,2389,0
55.5,-83,2384,0
55.5,-81,2376,0
55.5,-82,2390,0
55.5,-81,2373,0
55.5,-81,2386,0
55.5,-80,2385,0
55.5,-80,2383,0
55.5,-78,2375,0
55.5,-76,2379,0
55.5,-74,2412,0
55.5,-72,2376,0
55.5,-64,2411,0
55.5,-28,2443,0
55.5,-27,2441,0
55,-9,2443,0
53.5,32,2441,0
53.5,35,2441,0
53.5,45,2441,0
53.5,49,2442,0
53,59,2442,0
52.5,39,2441,0
52.5,34,2443,0
52,47,2443,0
52,58,2442,0
52,63,2443,0
52,65,2400,0
52,66,2409,0
52,68,2427,0
52,67,2440,0
52,67,2487,0
52,66,2443,0
52,41,2441,0
52,40,2443,0
51.5,21,2441,0
51.5,17,2442,0
51.5,12,2442,0
51.5,7,2442,0
51.5,-12,2441,0
51.5,-16,2442,0
51.5,-19,2442,0
51.5,-20,2441,0
51.5,-22,2442,0
51.5,-44,2443,0
51.5,-48,2442,0
51.5,-51,2441,0
51.5,-53,2443,0
