SPD,ANG,TRQ,ANOMALY
0,-4,2442,0
0,-3,2442,0
0,-4,2441,0
0,-4,2443,0
0,-3,2441,0
0,-3,2443,0
0,-5,2442,0
0,-19,2442,0
0,-44,2442,0
0,-61,2433,0
0,-68,2379,0
0,-71,2409,0
0,-70,2376,0
0,-75,2441,0
0,-73,2435,0
0,-76,2509,0
0,-79,2520,0
0,-79,2514,0
0,-82,2573,0
0,-82,2619,0
0,-84,2605,0
0,-86,2625,0
0,-90,2700,0
0,-94,2803,0
0,-95,2790,0
0,-98,2863,0
0,-102,2873,0
0,-105,2948,0
0,-111,3027,0
0,-114,3039,0
0,-115,3017,0
0,-121,3034,0
0,-122,3054,0
0,-130,3045,0
0,-133,3046,0
0,-134,3054,0
0,-137,3052,0
0,-140,3051,0
0,-143,3053,0
0,-144,3051,0
0,-146,3052,0
0,-147,3051,0
0,-143,3054,0
0,-143,3051,0
0,-140,3058,0
0,-133,3055,0
0,-119,3053,0
0,-102,3026,0
0,-95,2881,0
0,-87,2834,0
0,-84,2756,0
0,-81,2753,0
0,-77,2664,0
0,-73,2570,0
0,-70,2519,0
0,-66,2448,0
0,-63,2377,0
0,-60,2422,0
0,-56,2442,0
0,-48,2442,0
0,-27,2442,0
0,9,2442,0
0,46,2442,0
0,80,2508,0
0,79,2515,0
0,73,2533,0
0,88,2694,0
0,86,2672,0
0,91,2697,0
0,91,2695,0
0,94,2697,0
0,95,2697,0
0,98,2649,0
0,99,2676,0
0,99,2697,0
0,103,2697,0
0,102,2664,0
0,103,2680,0
0,104,2697,0
0,107,2682,0
0,106,2697,0
0,109,2697,0
0,109,2695,0
0,109,2698,0
0,111,2698,0
0,110,2698,0
0,107,2697,0
0,107,2696,0
0,103,2696,0
0,99,2698,0
0,87,2697,0
0,81,2681,0
0,77,2594,0
0,73,2597,0
0,71,2556,0
0,70,2418,0
0,66,2582,0
0,63,2498,0
0,63,2512,0
0,62,2427,0
0,58,2454,0
0,57,2432,0
0,52,2450,0
0,42,2439,0
0,22,2436,0
0,1,2450,0
0,-15,2434,0
0,-26,2449,0
0,-38,2441,0
0,-51,2436,0
0,-63,2441,0
0,-76,2381,0
0,-77,2389,0
0,-73,2393,0
0,-76,2421,0
0,-84,2521,0
0,-84,2513,0
0,-91,2629,0
0,-92,2615,0
0,-94,2638,0
0,-101,2779,0
0,-102,2808,0
0,-107,2890,0
0,-113,3021,0
0,-116,3018,0
0,-120,3048,0
0,-124,3050,0
0,-130,3052,0
0,-134,3046,0
0,-134,3051,0
0,-141,3051,0
0,-142,3052,0
0,-145,3051,0
0,-147,3053,0
0,-145,3055,0
0,-142,3049,0
0,-141,3056,0
0,-135,3053,0
0,-124,3053,0
0,-105,3044,0
0,-98,3005,0
0,-90,2848,0
0,-85,2786,0
0,-81,2775,0
0,-78,2678,0
0,-75,2578,0
0,-71,2559,0
0,-68,2519,0
0,-64,2417,0
0,-62,2379,0
0,-59,2420,0
0,-55,2442,0
0,-45,2442,0
0,-23,2442,0
0,8,2442,0
0,33,2442,0
0,51,2442,0
0,66,2462,0
0,76,2560,0
0,74,2610,0
0,78,2617,0
0,78,2561,0
0,81,2607,0
0,81,2569,0
0,84,2691,0
0,85,2685,0
0,83,2686,0
0,83,2687,0
0,81,2683,0
0,82,2690,0
0,81,2678,0
0,80,2686,0
0,80,2688,0
0,78,2672,0
0,78,2673,0
0,76,2502,0
0,69,2551,0
0,61,2384,0
0,56,2443,0
0,53,2442,0
0,48,2442,0
0,37,2442,0
0,25,2442,0
0,16,2443,0
0,10,2442,0
0,6,2442,0
0,3,2442,0
0,-2,2442,0
0,-6,2442,0
0,-9,2442,0
0,-12,2441,0
0,-14,2442,0
0,-15,2442,0
0,-14,2441,0
0,-13,2442,0
0,-11,2442,0
0,5,2442,0
0,3,2441,0
0,0,2442,0
0,-1,2442,0
0,-1,2443,0
0,-2,2443,0
0,-2,2441,0
0,-1,2441,0
6,-2,2442,0
6,-1,2442,0
6,-2,2443,0
6,-2,2441,0
0,-5,2441,0
0,-7,2441,0
0,-7,2442,0
0,-9,2441,0
0,-10,2443,0
0,-16,2442,0
0,-22,2442,0
0,-25,2441,0
0,-26,2442,0
0,-29,2441,0
0,-29,2442,0
0,-30,2442,0
0,-21,2442,0
0,4,2442,0
0,15,2442,0
0,17,2442,0
0,15,2441,0
0,16,2442,0
0,14,2441,0
0,12,2442,0
0,2,2442,0
0,1,2442,0
0,0,2441,0
1,1,2442,0
1,2,2442,0
1,2,2443,0
1,3,2442,0
1,8,2443,0
1,17,2442,0
1,21,2442,0
1,19,2442,0
0,11,2442,0
0,22,2442,0
0,29,2442,0
0,30,2441,0
0.5,30,2443,0
0.5,30,2442,0
0.5,29,2442,0
0.5,32,2442,0
0,34,2442,0
0,35,2442,0
0,39,2442,0
0,44,2442,0
0,52,2442,0
0,54,2442,0
0,56,2442,0
0,55,2442,0
0,52,2443,0
0,49,2442,0
0,45,2442,0
0,43,2442,0
0,40,2442,0
0,39,2441,0
0,38,2442,0
0,31,2442,0
0,30,2443,0
0,28,2442,0
0,27,2442,0
0,24,2442,0
0,19,2442,0
0,17,2441,0
0,14,2442,0
0,13,2442,0
0,7,2442,0
0,4,2441,0
0,0,2443,0
0,17,2443,0
0,16,2441,0
0,12,2441,0
0,-17,2442,0
0,-18,2442,0
0,-17,2441,0
0,-14,2443,0
0,-13,2441,0
0,-10,2442,0
0,30,2442,0
0,35,2441,0
0,32,2442,0
0,32,2441,0
0,31,2443,0
0,31,2441,0
0.5,27,2442,0
0.5,25,2442,0
0.5,24,2442,0
0.5,22,2442,0
0.5,23,2442,0
0.5,35,2442,0
0.5,37,2442,0
0.5,39,2442,0
1,40,2442,0
1,41,2442,0
1,46,2442,0
1,50,2441,0
1,54,2442,0
1,56,2442,0
1,58,2441,0
1,60,2443,0
1.5,60,2458,0
1.5,61,2401,0
1.5,64,2439,0
1.5,66,2498,0
1.5,65,2533,0
1.5,61,2446,0
1.5,60,2481,0
1.5,62,2443,0
1.5,63,2434,0
1.5,63,2483,0
1.5,64,2495,0
1.5,64,2498,0
1.5,64,2455,0
1.5,65,2510,0
1.5,66,2508,0
1.5,65,2513,0
1.5,66,2538,0
1.5,66,2515,0
2,66,2431,0
2,66,2475,0
2,66,2493,0
2,67,2509,0
2,66,2524,0
2,67,2564,0
